horizon,split,recall_before,recall_after,d_recall,pr_auc_before,pr_auc_after,d_pr_auc,precision_before,precision_after,d_precision
1,random,0.6667,0.6667,0,0.7285,0.7353,0.0068,0.6305,0.6809,0.0504
1,temporal,0.5772,0.5729,-0.0043,0.6427,0.6454,0.0027,0.6276,0.6741,0.0465
1,spatial,0.604,0.5749,-0.0291,0.7751,0.7798,0.0047,0.7895,0.7859,-0.0036
3,random,0.6812,0.7029,0.0217,0.6826,0.6722,-0.0104,0.5987,0.6139,0.0152
3,temporal,0.5331,0.5331,0,0.6446,0.6511,0.0065,0.6968,0.7018,0.005
3,spatial,0.6228,0.5351,-0.0877,0.7433,0.7374,-0.0059,0.7662,0.7689,0.0027
5,random,0.6358,0.6111,-0.0247,0.6955,0.6892,-0.0063,0.628,0.6556,0.0276
5,temporal,0.5023,0.477,-0.0253,0.6726,0.6466,-0.026,0.7219,0.6946,-0.0273
5,spatial,0.5881,0.5829,-0.0052,0.7383,0.7321,-0.0062,0.7443,0.7426,-0.0017
7,random,0.606,0.5786,-0.0274,0.6309,0.6219,-0.009,0.5941,0.6105,0.0164
7,temporal,0.3553,0.3153,-0.04,0.5022,0.4849,-0.0173,0.6006,0.5937,-0.0069
7,spatial,0.4866,0.4544,-0.0322,0.6582,0.6596,0.0014,0.7035,0.7228,0.0193
14,random,0.4668,0.4456,-0.0212,0.5841,0.5723,-0.0118,0.6197,0.5915,-0.0282
14,temporal,0.2614,0.2337,-0.0277,0.4587,0.4466,-0.0121,0.6125,0.593,-0.0195
14,spatial,0.2755,0.259,-0.0165,0.6501,0.638,-0.0121,0.7968,0.7966,-2e-04
