horizon,split,quantity,point,ci_lo,ci_hi,excludes_0,block_days,n_boot
1,random,rf_pr,0.7292,0.6497,0.8009,TRUE,30,1000
1,random,rf_p80,0.5704,0.446,0.6637,TRUE,30,1000
1,random,d_rf_pers,0.146,0.0873,0.2037,TRUE,30,1000
1,random,d_rf_tf,,,,,30,0
1,random,d_wind_pr,0.0028,-0.0115,0.0145,FALSE,30,1000
1,random,d_bio_pr,0.0068,-0.013,0.0299,FALSE,30,1000
1,random,d_bio_p80,-0.0412,-0.0829,0.0637,FALSE,30,1000
3,random,rf_pr,0.6839,0.5863,0.7671,TRUE,30,1000
3,random,rf_p80,0.5163,0.3529,0.612,TRUE,30,1000
3,random,d_rf_pers,0.2105,0.124,0.2921,TRUE,30,1000
3,random,d_rf_tf,,,,,30,0
3,random,d_wind_pr,0.0096,-0.013,0.0322,FALSE,30,1000
3,random,d_bio_pr,-0.0102,-0.0359,0.0221,FALSE,30,1000
3,random,d_bio_p80,-0.0399,-0.0937,0.0766,FALSE,30,1000
5,random,rf_pr,0.6964,0.5963,0.7735,TRUE,30,1000
5,random,rf_p80,0.5159,0.3546,0.6489,TRUE,30,1000
5,random,d_rf_pers,0.2914,0.2098,0.3661,TRUE,30,1000
5,random,d_rf_tf,,,,,30,0
5,random,d_wind_pr,0.0132,-0.0172,0.0491,FALSE,30,1000
5,random,d_bio_pr,-0.0059,-0.0369,0.0177,FALSE,30,1000
5,random,d_bio_p80,0.0469,-0.0598,0.0983,FALSE,30,1000
7,random,rf_pr,0.6315,0.5556,0.6924,TRUE,30,1000
7,random,rf_p80,0.435,0.3546,0.5313,TRUE,30,1000
7,random,d_rf_pers,0.2261,0.1808,0.2713,TRUE,30,1000
7,random,d_rf_tf,,,,,30,0
7,random,d_wind_pr,3e-04,-0.0124,0.0147,FALSE,30,1000
7,random,d_bio_pr,-0.0091,-0.026,0.0052,FALSE,30,1000
7,random,d_bio_p80,-0.0029,-0.0711,0.0275,FALSE,30,1000
14,random,rf_pr,0.5847,0.5088,0.6492,TRUE,30,1000
14,random,rf_p80,0.3545,0.2319,0.463,TRUE,30,1000
14,random,d_rf_pers,0.2739,0.2165,0.3317,TRUE,30,1000
14,random,d_rf_tf,,,,,30,0
14,random,d_wind_pr,0.0275,0.0075,0.0508,TRUE,30,1000
14,random,d_bio_pr,-0.0118,-0.0273,0.0056,FALSE,30,1000
14,random,d_bio_p80,-0.0065,-0.0282,0.0629,FALSE,30,1000
1,spatial,rf_pr,0.7644,0.6729,0.83,TRUE,30,1000
1,spatial,rf_p80,0.7047,0.597,0.7928,TRUE,30,1000
1,spatial,d_rf_pers,-0.0054,-0.0604,0.041,FALSE,30,1000
1,spatial,d_rf_tf,0.0232,-0.0369,0.0807,FALSE,30,1000
1,spatial,d_wind_pr,0.0053,-0.007,0.016,FALSE,30,1000
1,spatial,d_bio_pr,0.0028,-0.0205,0.0242,FALSE,30,1000
1,spatial,d_bio_p80,0.02,-0.0155,0.0442,FALSE,30,1000
3,spatial,rf_pr,0.7394,0.6472,0.8181,TRUE,30,1000
3,spatial,rf_p80,0.7062,0.545,0.7916,TRUE,30,1000
3,spatial,d_rf_pers,0.0555,0.006,0.1115,TRUE,30,1000
3,spatial,d_rf_tf,-0.0068,-0.0574,0.0503,FALSE,30,1000
3,spatial,d_wind_pr,0.015,-0.0111,0.0373,FALSE,30,1000
3,spatial,d_bio_pr,-5e-04,-0.0248,0.0213,FALSE,30,1000
3,spatial,d_bio_p80,-0.016,-0.0543,0.0503,FALSE,30,1000
5,spatial,rf_pr,0.7176,0.6144,0.808,TRUE,30,1000
5,spatial,rf_p80,0.6492,0.4542,0.766,TRUE,30,1000
5,spatial,d_rf_pers,0.1067,0.052,0.1577,TRUE,30,1000
5,spatial,d_rf_tf,-5e-04,-0.0665,0.0622,FALSE,30,1000
5,spatial,d_wind_pr,0.007,-0.0203,0.0275,FALSE,30,1000
5,spatial,d_bio_pr,-0.0177,-0.0348,0.0023,FALSE,30,1000
5,spatial,d_bio_p80,0.0069,-0.0522,0.0433,FALSE,30,1000
7,spatial,rf_pr,0.6173,0.5006,0.714,TRUE,30,1000
7,spatial,rf_p80,0.5487,0.3312,0.6817,TRUE,30,1000
7,spatial,d_rf_pers,0.0913,0.0384,0.1412,TRUE,30,1000
7,spatial,d_rf_tf,-0.0082,-0.0594,0.0454,FALSE,30,1000
7,spatial,d_wind_pr,-0.0079,-0.0234,0.0082,FALSE,30,1000
7,spatial,d_bio_pr,0.0033,-0.0121,0.0175,FALSE,30,1000
7,spatial,d_bio_p80,0.015,-0.05,0.0529,FALSE,30,1000
14,spatial,rf_pr,0.6245,0.4977,0.7285,TRUE,30,1000
14,spatial,rf_p80,0.4219,0.2106,0.6102,TRUE,30,1000
14,spatial,d_rf_pers,0.1863,0.1323,0.2347,TRUE,30,1000
14,spatial,d_rf_tf,0.0182,-0.0366,0.0763,FALSE,30,1000
14,spatial,d_wind_pr,0.0136,-0.0057,0.0329,FALSE,30,1000
14,spatial,d_bio_pr,-0.0302,-0.0492,-0.0124,TRUE,30,1000
14,spatial,d_bio_p80,-0.0679,-0.1095,0.0082,FALSE,30,1000
1,temporal,rf_pr,0.6442,0.5383,0.7187,TRUE,30,1000
1,temporal,rf_p80,0.5,0.3706,0.6096,TRUE,30,1000
1,temporal,d_rf_pers,0.032,-0.0489,0.0952,FALSE,30,1000
1,temporal,d_rf_tf,0.045,-8e-04,0.0778,FALSE,30,1000
1,temporal,d_wind_pr,0.0122,0.0024,0.0203,TRUE,30,1000
1,temporal,d_bio_pr,-6e-04,-0.0209,0.0207,FALSE,30,1000
1,temporal,d_bio_p80,0.022,-0.0318,0.0435,FALSE,30,1000
3,temporal,rf_pr,0.6555,0.5514,0.7542,TRUE,30,1000
3,temporal,rf_p80,0.4957,0.3565,0.6494,TRUE,30,1000
3,temporal,d_rf_pers,0.0744,0.0086,0.1339,TRUE,30,1000
3,temporal,d_rf_tf,0.007,-0.0335,0.0349,FALSE,30,1000
3,temporal,d_wind_pr,0.0144,-0.0012,0.0243,FALSE,30,1000
3,temporal,d_bio_pr,-0.0042,-0.0245,0.0198,FALSE,30,1000
3,temporal,d_bio_p80,0.0641,-0.0275,0.1125,FALSE,30,1000
5,temporal,rf_pr,0.6729,0.5365,0.7637,TRUE,30,1000
5,temporal,rf_p80,0.4652,0.2682,0.6307,TRUE,30,1000
5,temporal,d_rf_pers,0.1557,0.0788,0.214,TRUE,30,1000
5,temporal,d_rf_tf,0.0442,0.0028,0.0794,TRUE,30,1000
5,temporal,d_wind_pr,0.0128,-0.0029,0.0288,FALSE,30,1000
