horizon,split,base_pr_auc,e01a_pr_auc,d_pr_auc,ci_lo,ci_hi,excludes_0,suspect,block_days
1,random,0.7285,0.721,-0.0076,-0.0282,0.0115,FALSE,FALSE,30
3,random,0.6826,0.6329,-0.0497,-0.081,-0.0175,TRUE,FALSE,30
5,random,0.6955,0.6908,-0.0047,-0.0296,0.0165,FALSE,FALSE,30
7,random,0.6309,0.6323,0.0014,-0.0164,0.0185,FALSE,FALSE,30
14,random,0.5841,0.5958,0.0117,-0.0059,0.0296,FALSE,FALSE,30
1,spatial,0.7636,0.7551,-0.0085,-0.0313,0.0147,FALSE,FALSE,30
3,spatial,0.7386,0.7409,0.0024,-0.0289,0.0322,FALSE,FALSE,30
5,spatial,0.717,0.7232,0.0062,-0.0209,0.0313,FALSE,FALSE,30
7,spatial,0.6165,0.6428,0.0263,0.0051,0.0487,TRUE,FALSE,30
14,spatial,0.624,0.6292,0.0052,-0.0129,0.0233,FALSE,FALSE,30
1,temporal,0.6437,0.636,-0.0076,-0.0189,0.0053,FALSE,FALSE,30
3,temporal,0.6544,0.6342,-0.0202,-0.0377,0.009,FALSE,FALSE,30
5,temporal,0.6724,0.6628,-0.0096,-0.0307,0.0083,FALSE,FALSE,30
7,temporal,0.5008,0.4969,-0.0039,-0.0165,0.0089,FALSE,FALSE,30
14,temporal,0.4589,0.4601,0.0012,-0.0188,0.0181,FALSE,FALSE,30
