horizon,split,adopted_v2,e01a_v2,d_pr_auc,ci_lo,ci_hi,excludes_0,suspect,frozen_pr
1,random,0.7241,0.7362,0.0121,-9e-04,0.0274,FALSE,FALSE,0.7285
1,spatial,0.7589,0.7553,-0.0035,-0.0319,0.023,FALSE,FALSE,0.7636
1,temporal,0.6428,0.652,0.0092,-0.0127,0.028,FALSE,FALSE,0.6437
3,random,0.6622,0.6815,0.0193,-0.0039,0.0442,FALSE,FALSE,0.6826
3,spatial,0.7353,0.7343,-0.001,-0.0343,0.0301,FALSE,FALSE,0.7386
3,temporal,0.6488,0.6476,-0.0012,-0.012,0.0126,FALSE,FALSE,0.6544
5,random,0.7202,0.7273,0.0071,-0.0134,0.0256,FALSE,FALSE,0.6955
5,spatial,0.7158,0.7127,-0.0032,-0.0293,0.0249,FALSE,FALSE,0.717
5,temporal,0.6734,0.6713,-0.0021,-0.0167,0.0129,FALSE,FALSE,0.6724
7,random,0.5973,0.6133,0.016,0.0036,0.0312,TRUE,FALSE,0.6309
7,spatial,0.6204,0.6302,0.0098,-0.0105,0.0331,FALSE,FALSE,0.6165
7,temporal,0.4999,0.5102,0.0103,-7e-04,0.0204,FALSE,FALSE,0.5008
14,random,0.5886,0.6051,0.0164,0.0016,0.0331,TRUE,FALSE,0.5841
14,spatial,0.6265,0.6264,-2e-04,-0.0232,0.0186,FALSE,FALSE,0.624
14,temporal,0.4594,0.4656,0.0063,-0.0068,0.0178,FALSE,FALSE,0.4589
