horizon,split,derivation,d_pr_auc,pr_lo,pr_hi,pr_excl0,d_p80,p80_lo,p80_hi,suspect
1,random,ordered_P>=3,0.0032,-0.004,0.0109,FALSE,0,-0.0371,0.0285,FALSE
1,random,multiclass_P3+P4,0.0021,-0.0123,0.0172,FALSE,-0.0281,-0.0739,0.0451,FALSE
3,random,ordered_P>=3,0.0026,-0.0091,0.0171,FALSE,-0.0071,-0.024,0.0487,FALSE
3,random,multiclass_P3+P4,0.0157,-0.0087,0.0429,FALSE,-0.0117,-0.0582,0.0618,FALSE
5,random,ordered_P>=3,-9e-04,-0.0115,0.0069,FALSE,0.0104,-0.0578,0.0368,FALSE
5,random,multiclass_P3+P4,0.0061,-0.0177,0.0318,FALSE,-0.0159,-0.0882,0.0489,FALSE
7,random,ordered_P>=3,-1e-04,-0.0057,0.0058,FALSE,0.0103,-0.0205,0.0312,FALSE
7,random,multiclass_P3+P4,0.0131,-0.0089,0.0337,FALSE,0.0036,-0.0462,0.0336,FALSE
14,random,ordered_P>=3,-0.0034,-0.0086,0.0019,FALSE,-0.0061,-0.0359,0.0274,FALSE
14,random,multiclass_P3+P4,-0.005,-0.0207,0.0114,FALSE,-0.0304,-0.078,0.0219,FALSE
1,spatial,ordered_P>=3,0.0014,-0.0086,0.0116,FALSE,0.02,-0.0112,0.0358,FALSE
1,spatial,multiclass_P3+P4,-0.025,-0.0571,0.0073,FALSE,-0.0393,-0.0848,0.0232,FALSE
3,spatial,ordered_P>=3,-0.0065,-0.021,0.0118,FALSE,-0.0212,-0.0525,0.0268,FALSE
3,spatial,multiclass_P3+P4,-0.0236,-0.0541,0.0016,FALSE,-0.0195,-0.0548,0.0353,FALSE
5,spatial,ordered_P>=3,0.0025,-0.0066,0.0115,FALSE,0.0055,-0.0224,0.0358,FALSE
5,spatial,multiclass_P3+P4,-0.0205,-0.0443,0.0102,FALSE,-0.0312,-0.068,0.0139,FALSE
7,spatial,ordered_P>=3,-0.0021,-0.0092,0.0063,FALSE,-0.004,-0.0388,0.0171,FALSE
7,spatial,multiclass_P3+P4,-0.0019,-0.027,0.0228,FALSE,0.0172,-0.0326,0.0676,FALSE
14,spatial,ordered_P>=3,-0.0038,-0.013,0.0042,FALSE,-0.0359,-0.0481,0.0306,FALSE
14,spatial,multiclass_P3+P4,-0.0229,-0.0527,0.0047,FALSE,-0.0427,-0.0937,0.0264,FALSE
1,temporal,ordered_P>=3,-0.0025,-0.0126,0.0063,FALSE,0.0013,-0.023,0.0279,FALSE
1,temporal,multiclass_P3+P4,-0.033,-0.058,-0.0115,TRUE,-0.0445,-0.1019,-0.0056,FALSE
3,temporal,ordered_P>=3,0.0022,-0.0055,0.0089,FALSE,0.0296,-0.0359,0.0554,FALSE
3,temporal,multiclass_P3+P4,-0.0333,-0.0488,-0.0138,TRUE,-0.005,-0.0979,0.0187,FALSE
5,temporal,ordered_P>=3,-0.0023,-0.0087,0.0056,FALSE,-0.0103,-0.0324,0.0307,FALSE
5,temporal,multiclass_P3+P4,-0.0503,-0.0761,-0.0233,TRUE,-0.0807,-0.1291,0.0025,TRUE
7,temporal,ordered_P>=3,-6e-04,-0.005,0.0032,FALSE,0.001,-0.0147,0.0143,FALSE
7,temporal,multiclass_P3+P4,-0.0197,-0.0363,-0.0017,TRUE,-0.017,-0.0289,0.0119,FALSE
14,temporal,ordered_P>=3,0.0041,-6e-04,0.0088,FALSE,0.0049,-0.0117,0.0164,FALSE
14,temporal,multiclass_P3+P4,-0.0278,-0.0489,-0.0058,TRUE,-0.0062,-0.0279,0.0114,FALSE
