horizon,split,qwk_ord,qwk_mc,cat_acc_ord,cat_acc_mc,ordPR_ge1,ordPR_ge2,ordPR_ge3,ordPR_ge4,bin_base,bin_ord,bin_mc,p80_base,p80_ord,p80_mc
1,random,0.695,0.7261,0.7787,0.7646,0.805,0.792,0.732,0.383,0.7285,0.7317,0.7306,0.5704,0.5704,0.5423
3,random,0.6793,0.6998,0.7327,0.6992,0.819,0.789,0.685,0.501,0.6826,0.6851,0.6983,0.5163,0.5092,0.5045
5,random,0.7006,0.7135,0.7644,0.7474,0.803,0.806,0.695,0.523,0.6955,0.6946,0.7016,0.5159,0.5263,0.5
7,random,0.6432,0.6693,0.8228,0.8078,0.747,0.697,0.631,0.385,0.6309,0.6308,0.6441,0.435,0.4452,0.4385
14,random,0.5996,0.6436,0.8364,0.8257,0.721,0.685,0.581,0.372,0.5841,0.5807,0.5791,0.3545,0.3483,0.324
1,spatial,0.7398,0.7705,0.803,0.7957,0.84,0.861,0.765,0.417,0.7636,0.7649,0.7386,0.7047,0.7247,0.6654
3,spatial,0.7146,0.7488,0.7671,0.7567,0.81,0.809,0.732,0.358,0.7386,0.7321,0.7149,0.7062,0.685,0.6867
5,spatial,0.6923,0.739,0.7653,0.7595,0.818,0.844,0.72,0.448,0.717,0.7195,0.6965,0.6492,0.6547,0.618
7,spatial,0.6307,0.6872,0.8148,0.8054,0.759,0.749,0.614,0.375,0.6165,0.6144,0.6146,0.5487,0.5447,0.5659
14,spatial,0.411,0.6293,0.801,0.799,0.74,0.711,0.62,0.36,0.624,0.6202,0.6011,0.4219,0.386,0.3792
1,temporal,0.6617,0.6164,0.736,0.6764,0.76,0.735,0.641,0.375,0.6437,0.6412,0.6107,0.5,0.5013,0.4555
3,temporal,0.6583,0.5966,0.6977,0.6066,0.768,0.736,0.657,0.357,0.6544,0.6566,0.6211,0.4957,0.5254,0.4907
5,temporal,0.6448,0.6278,0.7307,0.6799,0.739,0.72,0.67,0.428,0.6724,0.6701,0.6221,0.4652,0.4549,0.3845
7,temporal,0.5166,0.5406,0.758,0.7298,0.663,0.6,0.5,0.282,0.5008,0.5002,0.4811,0.275,0.276,0.258
14,temporal,0.4183,0.4769,0.7626,0.7388,0.609,0.553,0.463,0.223,0.4589,0.463,0.4311,0.2295,0.2344,0.2234
