horizon,split,class,n_actual,recall,precision
1,random,0,1153,0.978,0.854
1,random,1,98,0.01,0.143
1,random,2,116,0.034,0.667
1,random,3,121,0.405,0.36
1,random,4,71,0.451,0.36
3,random,0,650,0.972,0.819
3,random,1,85,0.012,1
3,random,2,81,0.049,0.308
3,random,3,93,0.333,0.392
3,random,4,45,0.689,0.348
5,random,0,886,0.982,0.835
5,random,1,93,0,0
5,random,2,90,0.011,0.125
5,random,3,104,0.337,0.376
5,random,4,58,0.603,0.402
7,random,0,3830,0.974,0.887
7,random,1,249,0.008,0.182
7,random,2,271,0.044,0.2
7,random,3,263,0.395,0.319
7,random,4,138,0.449,0.416
14,random,0,3930,0.981,0.888
14,random,1,222,0.023,0.333
14,random,2,250,0.064,0.262
14,random,3,244,0.307,0.3
14,random,4,133,0.346,0.404
1,spatial,0,2473,0.99,0.87
1,spatial,1,186,0.022,0.235
1,spatial,2,173,0.012,0.25
1,spatial,3,254,0.531,0.398
1,spatial,4,193,0.223,0.43
3,spatial,0,1604,0.989,0.838
3,spatial,1,161,0,
3,spatial,2,121,0.025,0.136
3,spatial,3,212,0.349,0.398
3,spatial,4,130,0.354,0.359
5,spatial,0,1717,0.983,0.836
5,spatial,1,147,0,0
5,spatial,2,149,0.02,0.2
5,spatial,3,223,0.439,0.38
5,spatial,4,163,0.288,0.443
7,spatial,0,5161,0.988,0.864
7,spatial,1,336,0,0
7,spatial,2,333,0.036,0.194
7,spatial,3,462,0.422,0.382
7,spatial,4,284,0.18,0.495
14,spatial,0,5018,0.996,0.824
14,spatial,1,330,0.003,1
14,spatial,2,314,0.01,0.068
14,spatial,3,436,0.122,0.361
14,spatial,4,290,0.221,0.492
1,temporal,0,2090,0.963,0.827
1,temporal,1,217,0.005,0.5
1,temporal,2,224,0.031,0.152
1,temporal,3,297,0.471,0.346
1,temporal,4,176,0.29,0.429
3,temporal,0,1259,0.954,0.79
3,temporal,1,164,0.006,1
3,temporal,2,167,0.036,0.15
3,temporal,3,225,0.453,0.364
3,temporal,4,137,0.38,0.468
5,temporal,0,1859,0.962,0.812
5,temporal,1,212,0.005,0.2
5,temporal,2,172,0.012,0.057
5,temporal,3,262,0.443,0.347
5,temporal,4,172,0.285,0.49
7,temporal,0,6565,0.971,0.816
7,temporal,1,614,0,0
7,temporal,2,626,0.04,0.191
7,temporal,3,706,0.364,0.327
7,temporal,4,369,0.203,0.484
14,temporal,0,6820,0.975,0.809
14,temporal,1,572,0,0
14,temporal,2,619,0.042,0.172
14,temporal,3,639,0.23,0.295
14,temporal,4,371,0.154,0.375
