horizon,split,raw,composite,d_pr,lo,hi,excl0,d_p80,suspect,frozen
1,random,0.724,0.7432,0.0192,-0.0078,0.0517,FALSE,0.0252,FALSE,0.7285
1,spatial,0.763,0.783,0.02,-0.0083,0.0497,FALSE,-0.0153,FALSE,0.7636
1,temporal,0.6425,0.6346,-0.0079,-0.032,0.0199,FALSE,0,FALSE,0.6437
3,random,0.6622,0.6621,-1e-04,-0.0379,0.0332,FALSE,-0.0216,FALSE,0.6826
3,spatial,0.7306,0.7401,0.0095,-0.0271,0.0401,FALSE,-0.0264,FALSE,0.7386
3,temporal,0.6488,0.6371,-0.0117,-0.0346,0.0115,FALSE,0.0028,FALSE,0.6544
5,random,0.72,0.7292,0.0092,-0.0284,0.0475,FALSE,0.0126,FALSE,0.6955
5,spatial,0.7171,0.726,0.0088,-0.0221,0.0401,FALSE,0.0233,FALSE,0.717
5,temporal,0.6734,0.664,-0.0095,-0.0367,0.0295,FALSE,-0.0263,FALSE,0.6724
7,random,0.5973,0.5735,-0.0238,-0.045,-0.0054,TRUE,-0.0361,FALSE,0.6309
7,spatial,0.6221,0.6335,0.0114,-0.0067,0.0316,FALSE,-0.0143,FALSE,0.6165
7,temporal,0.4999,0.5072,0.0073,-0.0068,0.0212,FALSE,-0.0111,FALSE,0.5008
14,random,0.5886,0.5784,-0.0103,-0.0291,0.0085,FALSE,-0.0137,FALSE,0.5841
14,spatial,0.6266,0.6104,-0.0161,-0.0374,0.0049,FALSE,-0.0053,FALSE,0.624
14,temporal,0.4594,0.4645,0.0051,-0.0122,0.0222,FALSE,-0.0034,FALSE,0.4589
