slice_type,slice_value,n,n_pos,tp,fp,fn,tn,recall,precision,fnr,fpr,prevalence
season,fall,2067,477,214,115,263,1475,0.4486,0.6505,0.5514,0.0723,0.2308
season,winter,2073,261,55,71,206,1741,0.2107,0.4365,0.7893,0.0392,0.1259
season,spring,2388,97,1,7,96,2284,0.0103,0.125,0.9897,0.0031,0.0406
season,summer,2352,240,103,58,137,2054,0.4292,0.6398,0.5708,0.0275,0.102
month,1,690,114,25,13,89,563,0.2193,0.6579,0.7807,,0.1652
month,2,804,67,9,17,58,720,0.1343,0.3462,0.8657,,0.0833
month,3,786,43,0,2,43,741,0,0,1,,0.0547
month,4,859,25,1,2,24,832,0.04,0.3333,0.96,,0.0291
month,5,743,29,0,3,29,711,0,0,1,,0.039
month,6,810,61,20,22,41,727,0.3279,0.4762,0.6721,,0.0753
month,7,782,59,16,11,43,712,0.2712,0.5926,0.7288,,0.0754
month,8,760,120,67,25,53,615,0.5583,0.7283,0.4417,,0.1579
month,9,620,105,43,28,62,487,0.4095,0.6056,0.5905,,0.1694
month,10,832,201,79,42,122,589,0.393,0.6529,0.607,,0.2416
month,11,615,171,92,45,79,399,0.538,0.6715,0.462,,0.278
month,12,579,80,21,41,59,458,0.2625,0.3387,0.7375,,0.1382
spatial_block,12_115,1792,352,182,87,170,1353,0.517,0.6766,0.483,,0.1964
spatial_block,12_071,1962,256,69,63,187,1643,0.2695,0.5227,0.7305,,0.1305
spatial_block,12_021,1291,151,14,29,137,1111,0.0927,0.3256,0.9073,,0.117
spatial_block,12_015,842,125,47,34,78,683,0.376,0.5802,0.624,,0.1485
spatial_block,12_081,901,87,29,15,58,799,0.3333,0.6591,0.6667,,0.0966
spatial_block,12_057,507,44,13,15,31,448,0.2955,0.4643,0.7045,,0.0868
spatial_block,12_103,986,43,14,4,29,939,0.3256,0.7778,0.6744,,0.0436
spatial_block,12_113,62,7,5,1,2,54,0.7143,0.8333,0.2857,,0.1129
spatial_block,12_101,23,4,0,0,4,19,0,,1,,0.1739
spatial_block,12_005,75,3,0,2,3,70,0,0,1,,0.04
spatial_block,12_045,131,2,0,1,2,128,0,0,1,,0.0153
spatial_block,12_053,10,1,0,0,1,9,0,,1,,0.1
spatial_block,12_087,60,0,0,0,0,60,,,,,0
spatial_block,12_017,4,0,0,0,0,4,,,,,0
spatial_block,12_075,17,0,0,0,0,17,,,,,0
spatial_block,12_029,14,0,0,0,0,14,,,,,0
spatial_block,12_037,96,0,0,0,0,96,,,,,0
spatial_block,12_127,40,0,0,0,0,40,,,,,0
spatial_block,12_129,2,0,0,0,0,2,,,,,0
spatial_block,12_091,37,0,0,0,0,37,,,,,0
spatial_block,12_109,19,0,0,0,0,19,,,,,0
spatial_block,12_131,7,0,0,0,0,7,,,,,0
spatial_block,12_031,2,0,0,0,0,2,,,,,0
cloud_flag,1,4465,524,237,170,287,3771,0.4523,0.5823,0.5477,,0.1174
cloud_flag,0,4415,551,136,81,415,3783,0.2468,0.6267,0.7532,,0.1248
chlor_a_missing,1,6196,702,288,204,414,5290,0.4103,0.5854,0.5897,,0.1133
chlor_a_missing,0,2684,373,85,47,288,2264,0.2279,0.6439,0.7721,,0.139
threshold_sensitivity,0.2,8880,1075,819,1939,256,5866,0.7619,0.297,0.2381,,0.1211
threshold_sensitivity,0.25,8880,1075,739,1225,336,6580,0.6874,0.3763,0.3126,,0.1211
threshold_sensitivity,0.3,8880,1075,667,827,408,6978,0.6205,0.4465,0.3795,,0.1211
threshold_sensitivity,0.35,8880,1075,598,604,477,7201,0.5563,0.4975,0.4437,,0.1211
threshold_sensitivity,0.4,8880,1075,529,450,546,7355,0.4921,0.5403,0.5079,,0.1211
threshold_sensitivity,0.45,8880,1075,449,336,626,7469,0.4177,0.572,0.5823,,0.1211
threshold_sensitivity,0.5,8880,1075,373,251,702,7554,0.347,0.5978,0.653,,0.1211
threshold_sensitivity,0.55,8880,1075,283,172,792,7633,0.2633,0.622,0.7367,,0.1211
threshold_sensitivity,0.6,8880,1075,198,107,877,7698,0.1842,0.6492,0.8158,,0.1211
