horizon,split,model,recall,pr_auc,roc_auc,precision,f1,fnr,accuracy,n_test,n_train,n_pos,tp,fp,fn,tn,pos_rate_train,prec_at_recall80
1,random,chl_only,0.151,0.1761,0.6018,0.2057,0.1742,0.849,0.8236,1559,6232,192,29,112,163,1255,0.0339,0.1507
1,random,persistence,0.7552,0.5832,0.8582,0.7323,0.7436,0.2448,0.9359,1559,6232,192,145,53,47,1314,0.0339,0.1232
1,random,rf,0.6667,0.7285,0.9363,0.6305,0.6481,0.3333,0.9108,1559,6232,192,128,75,64,1292,0.0339,0.5704
1,random,transformer,0.875,0.7162,0.9271,0.4516,0.5957,0.125,0.8538,1559,6232,192,168,204,24,1163,0.1228,
1,spatial,chl_only,0.1141,0.1665,0.5403,0.2394,0.1545,0.8859,0.8298,3279,4062,447,51,162,396,2670,0.11,0.1529
1,spatial,persistence,0.8837,0.7697,0.9298,0.8531,0.8681,0.1163,0.9634,3279,4062,447,395,68,52,2764,0.11,0.8531
1,spatial,rf,0.5526,0.7636,0.9477,0.7917,0.6509,0.4474,0.9192,3279,4062,447,247,65,200,2767,0.11,0.7047
1,spatial,transformer,0.9463,0.7177,0.9475,0.514,0.6661,0.0537,0.8707,3279,4512,447,423,400,24,2432,0.113,
1,temporal,chl_only,0.7949,0.2121,0.5983,0.1632,0.2708,0.2051,0.3259,3004,4786,473,376,1928,97,603,0.099,0.1629
1,temporal,persistence,0.778,0.6122,0.8637,0.7419,0.7595,0.222,0.9224,3004,4786,473,368,128,105,2403,0.099,0.1575
1,temporal,rf,0.5877,0.6437,0.8964,0.6362,0.611,0.4123,0.8822,3004,4786,473,278,159,195,2372,0.099,0.5
1,temporal,transformer,0.9006,0.6291,0.8975,0.3944,0.5486,0.0994,0.7666,3004,4787,473,426,654,47,1877,0.1011,
3,random,chl_only,0.1232,0.1643,0.5487,0.2297,0.1604,0.8768,0.8134,954,3811,138,17,57,121,759,0.0406,0.1625
3,random,persistence,0.6449,0.4734,0.7937,0.6544,0.6496,0.3551,0.8994,954,3811,138,89,47,49,769,0.0406,0.1447
3,random,rf,0.6812,0.6826,0.9066,0.5987,0.6373,0.3188,0.8878,954,3811,138,94,63,44,753,0.0406,0.5163
3,random,transformer,0.7391,0.6547,0.9036,0.5368,0.622,0.2609,0.87,954,3811,138,102,88,36,728,0.1438,
3,spatial,chl_only,0.076,0.1832,0.5239,0.1688,0.1048,0.924,0.8007,2228,2335,342,26,128,316,1758,0.1447,0.1551
3,spatial,persistence,0.8012,0.6839,0.8841,0.8155,0.8083,0.1988,0.9417,2228,2335,342,274,62,68,1824,0.1447,0.8155
3,spatial,rf,0.576,0.7386,0.9224,0.7725,0.66,0.424,0.9089,2228,2335,342,197,58,145,1828,0.1447,0.7062
3,spatial,transformer,0.886,0.7317,0.9302,0.5611,0.6871,0.114,0.8761,2228,2537,342,303,237,39,1649,0.1356,
3,temporal,chl_only,0.1271,0.2277,0.5868,0.2771,0.1742,0.8729,0.7766,1952,2810,362,46,120,316,1470,0.1271,0.2151
3,temporal,persistence,0.7099,0.5811,0.827,0.7428,0.726,0.2901,0.9006,1952,2810,362,257,89,105,1501,0.1271,0.1855
3,temporal,rf,0.5249,0.6544,0.8715,0.6835,0.5938,0.4751,0.8668,1952,2810,362,190,88,172,1502,0.1271,0.4957
3,temporal,transformer,0.8674,0.6347,0.8735,0.3834,0.5318,0.1326,0.7167,1952,2813,362,314,505,48,1085,0.1152,
5,random,chl_only,0.8025,0.1787,0.5724,0.141,0.2399,0.1975,0.3306,1231,4920,162,130,792,32,277,0.0365,0.1413
5,random,persistence,0.5741,0.405,0.759,0.6078,0.5905,0.4259,0.8952,1231,4920,162,93,60,69,1009,0.0365,0.1316
5,random,rf,0.6358,0.6955,0.9111,0.628,0.6319,0.3642,0.9025,1231,4920,162,103,61,59,1008,0.0365,0.5159
5,random,transformer,0.7901,0.6485,0.8868,0.4794,0.5967,0.2099,0.8595,1231,4920,162,128,139,34,930,0.1315,
5,spatial,chl_only,0.0881,0.1989,0.5585,0.2361,0.1283,0.9119,0.8074,2399,3409,386,34,110,352,1903,0.1129,0.1819
5,spatial,persistence,0.7539,0.6109,0.8538,0.7578,0.7558,0.2461,0.9216,2399,3409,386,291,93,95,1920,0.1129,0.1609
5,spatial,rf,0.5648,0.717,0.9048,0.7148,0.631,0.4352,0.8937,2399,3409,386,218,87,168,1926,0.1129,0.6492
5,spatial,transformer,0.9145,0.7092,0.9187,0.4803,0.6298,0.0855,0.827,2399,3752,386,353,382,33,1631,0.1127,
