horizon,split,model,feature_set,recall,pr_auc,roc_auc,precision,f1,fnr,accuracy,n_test,n_train,n_pos,tp,fp,fn,tn,pos_rate_train,prec_at_recall80
1,random,rf,bio_inclusive,0.6667,0.7353,0.9364,0.6809,0.6737,0.3333,0.9205,1559,6232,192,128,60,64,1307,0.0339,0.5292
1,random,persistence,bio_inclusive,0.7552,0.606,0.8811,0.7323,0.7436,0.2448,0.9359,1559,6232,192,145,53,47,1314,0.0339,0.3649
1,random,chl_only,bio_inclusive,0.151,0.1761,0.6018,0.2057,0.1742,0.849,0.8236,1559,6232,192,29,112,163,1255,0.0339,0.1507
1,temporal,rf,bio_inclusive,0.5729,0.6454,0.8996,0.6741,0.6194,0.4271,0.8891,3004,4787,473,271,131,202,2400,0.099,0.4993
1,temporal,persistence,bio_inclusive,0.778,0.6158,0.8885,0.7419,0.7595,0.222,0.9224,3004,4787,473,368,128,105,2403,0.099,0.5192
1,temporal,chl_only,bio_inclusive,0.797,0.2139,0.6007,0.1638,0.2717,0.203,0.3272,3004,4787,473,377,1925,96,606,0.099,0.1641
1,spatial,rf,bio_inclusive,0.5749,0.7798,0.95,0.7859,0.6641,0.4251,0.9207,3279,4512,447,257,70,190,2762,0.1005,0.7146
1,spatial,persistence,bio_inclusive,0.8837,0.7406,0.9373,0.8531,0.8681,0.1163,0.9634,3279,4512,447,395,68,52,2764,0.1005,0.8524
1,spatial,chl_only,bio_inclusive,0.1119,0.1683,0.5398,0.2513,0.1548,0.8881,0.8335,3279,4512,447,50,149,397,2683,0.1005,0.1542
3,random,rf,bio_inclusive,0.7029,0.6722,0.9097,0.6139,0.6554,0.2971,0.8931,954,3811,138,97,61,41,755,0.0406,0.4764
3,random,persistence,bio_inclusive,0.6449,0.4655,0.8029,0.6544,0.6496,0.3551,0.8994,954,3811,138,89,47,49,769,0.0406,0.2741
3,random,chl_only,bio_inclusive,0.1232,0.1643,0.5487,0.2297,0.1604,0.8768,0.8134,954,3811,138,17,57,121,759,0.0406,0.1625
3,temporal,rf,bio_inclusive,0.5331,0.6511,0.8725,0.7018,0.606,0.4669,0.8714,1952,2813,362,193,82,169,1508,0.127,0.5609
3,temporal,persistence,bio_inclusive,0.7099,0.5827,0.8583,0.7428,0.726,0.2901,0.9006,1952,2813,362,257,89,105,1501,0.127,0.4143
3,temporal,chl_only,bio_inclusive,0.1271,0.2282,0.5874,0.284,0.1756,0.8729,0.7787,1952,2813,362,46,116,316,1474,0.127,0.2151
3,spatial,rf,bio_inclusive,0.5351,0.7374,0.9193,0.7689,0.631,0.4649,0.9039,2228,2537,342,183,55,159,1831,0.1349,0.7062
3,spatial,persistence,bio_inclusive,0.8012,0.6968,0.9053,0.8155,0.8083,0.1988,0.9417,2228,2537,342,274,62,68,1824,0.1349,0.8179
3,spatial,chl_only,bio_inclusive,0.0819,0.1918,0.5382,0.1958,0.1155,0.9181,0.8075,2228,2537,342,28,115,314,1771,0.1349,0.1588
5,random,rf,bio_inclusive,0.6111,0.6892,0.9142,0.6556,0.6326,0.3889,0.9066,1231,4920,162,99,52,63,1017,0.0365,0.5628
5,random,persistence,bio_inclusive,0.5741,0.4337,0.7812,0.6078,0.5905,0.4259,0.8952,1231,4920,162,93,60,69,1009,0.0365,0.2163
5,random,chl_only,bio_inclusive,0.8025,0.1787,0.5724,0.141,0.2399,0.1975,0.3306,1231,4920,162,130,792,32,277,0.0365,0.1413
5,temporal,rf,bio_inclusive,0.477,0.6466,0.87,0.6946,0.5656,0.523,0.8812,2677,3474,434,207,91,227,2152,0.1228,0.4703
5,temporal,persistence,bio_inclusive,0.6544,0.5339,0.8216,0.7047,0.6786,0.3456,0.8995,2677,3474,434,284,119,150,2124,0.1228,0.2768
5,temporal,chl_only,bio_inclusive,0.8134,0.1918,0.5709,0.1713,0.283,0.1866,0.3317,2677,3474,434,353,1708,81,535,0.1228,0.1865
5,spatial,rf,bio_inclusive,0.5829,0.7321,0.908,0.7426,0.6531,0.4171,0.9004,2399,3752,386,225,78,161,1935,0.1039,0.6424
5,spatial,persistence,bio_inclusive,0.7539,0.5972,0.873,0.7578,0.7558,0.2461,0.9216,2399,3752,386,291,93,95,1920,0.1039,0.5328
5,spatial,chl_only,bio_inclusive,0.101,0.2072,0.5672,0.2453,0.1431,0.899,0.8053,2399,3752,386,39,120,347,1893,0.1039,0.1817
7,random,rf,bio_inclusive,0.5786,0.6219,0.926,0.6105,0.5941,0.4214,0.9333,4751,19000,401,232,148,169,4202,0.0225,0.432
7,random,persistence,bio_inclusive,0.6185,0.403,0.8052,0.6034,0.6108,0.3815,0.9335,4751,19000,401,248,163,153,4187,0.0225,0.1523
7,random,chl_only,bio_inclusive,0.1347,0.106,0.5459,0.1672,0.1492,0.8653,0.8703,4751,19000,401,54,269,347,4081,0.0225,0.0915
7,temporal,rf,bio_inclusive,0.3153,0.4849,0.8356,0.5937,0.4119,0.6847,0.891,8880,14871,1075,339,232,736,7573,0.0716,0.2796
7,temporal,persistence,bio_inclusive,0.627,0.4503,0.8213,0.6223,0.6247,0.373,0.9088,8880,14871,1075,674,409,401,7396,0.0716,0.2145
7,temporal,chl_only,bio_inclusive,0.08,0.1417,0.5419,0.2005,0.1144,0.92,0.85,8880,14871,1075,86,343,989,7462,0.0716,0.1215
7,spatial,rf,bio_inclusive,0.4544,0.6596,0.9268,0.7228,0.558,0.5456,0.9183,6576,17175,746,339,130,407,5700,0.0448,0.597
7,spatial,persistence,bio_inclusive,0.7051,0.5042,0.8318,0.6985,0.7018,0.2949,0.932,6576,17175,746,526,227,220,5603,0.0448,0.2465
7,spatial,chl_only,bio_inclusive,0.0737,0.1245,0.5097,0.2015,0.1079,0.9263,0.8618,6576,17175,746,55,218,691,5612,0.0448,0.1221
14,random,rf,bio_inclusive,0.4456,0.5723,0.9072,0.5915,0.5083,0.5544,0.932,4779,19110,377,168,116,209,4286,0.021,0.3479
14,random,persistence,bio_inclusive,0.5279,0.2863,0.7376,0.5182,0.523,0.4721,0.924,4779,19110,377,199,185,178,4217,0.021,0.1136
14,random,chl_only,bio_inclusive,0.0743,0.0782,0.4904,0.1098,0.0886,0.9257,0.8795,4779,19110,377,28,227,349,4175,0.021,0.0797
14,temporal,rf,bio_inclusive,0.2337,0.4466,0.8124,0.593,0.3352,0.7663,0.8962,9021,14868,1010,236,162,774,7849,0.0673,0.2246
14,temporal,persistence,bio_inclusive,0.5228,0.3196,0.7619,0.5024,0.5124,0.4772,0.8886,9021,14868,1010,528,523,482,7488,0.0673,0.1677
14,temporal,chl_only,bio_inclusive,0.0693,0.122,0.5262,0.1923,0.1019,0.9307,0.8632,9021,14868,1010,70,294,940,7717,0.0673,0.1137
