horizon,split,model,recall,pr_auc,roc_auc,precision,f1,fnr,accuracy,n_test,n_train,n_pos,tp,fp,fn,tn,pos_rate_train,prec_at_recall80,feature_set
1,random,rf,0.6667,0.7285,0.9363,0.6305,0.6481,0.3333,0.9108,1559,6232,192,128,75,64,1292,0.0339,0.5704,adopted_prebio_p0ab
1,random,persistence,0.7552,0.606,0.8811,0.7323,0.7436,0.2448,0.9359,1559,6232,192,145,53,47,1314,0.0339,0.3649,adopted_prebio_p0ab
1,random,chl_only,0.151,0.1761,0.6018,0.2057,0.1742,0.849,0.8236,1559,6232,192,29,112,163,1255,0.0339,0.1507,adopted_prebio_p0ab
1,temporal,rf,0.5877,0.6437,0.8964,0.6362,0.611,0.4123,0.8822,3004,4786,473,278,159,195,2372,0.099,0.5,adopted_prebio_p0ab
1,temporal,persistence,0.778,0.6158,0.8885,0.7419,0.7595,0.222,0.9224,3004,4786,473,368,128,105,2403,0.099,0.5192,adopted_prebio_p0ab
1,temporal,chl_only,0.7949,0.2121,0.5983,0.1632,0.2708,0.2051,0.3259,3004,4786,473,376,1928,97,603,0.099,0.1629,adopted_prebio_p0ab
1,spatial,rf,0.5526,0.7636,0.9477,0.7917,0.6509,0.4474,0.9192,3279,4062,447,247,65,200,2767,0.11,0.7047,adopted_prebio_p0ab
1,spatial,persistence,0.8837,0.7406,0.9373,0.8531,0.8681,0.1163,0.9634,3279,4062,447,395,68,52,2764,0.11,0.8524,adopted_prebio_p0ab
1,spatial,chl_only,0.1141,0.1665,0.5403,0.2394,0.1545,0.8859,0.8298,3279,4062,447,51,162,396,2670,0.11,0.1529,adopted_prebio_p0ab
3,random,rf,0.6812,0.6826,0.9066,0.5987,0.6373,0.3188,0.8878,954,3811,138,94,63,44,753,0.0406,0.5163,adopted_prebio_p0ab
3,random,persistence,0.6449,0.4655,0.8029,0.6544,0.6496,0.3551,0.8994,954,3811,138,89,47,49,769,0.0406,0.2741,adopted_prebio_p0ab
3,random,chl_only,0.1232,0.1643,0.5487,0.2297,0.1604,0.8768,0.8134,954,3811,138,17,57,121,759,0.0406,0.1625,adopted_prebio_p0ab
3,temporal,rf,0.5249,0.6544,0.8715,0.6835,0.5938,0.4751,0.8668,1952,2810,362,190,88,172,1502,0.1271,0.4957,adopted_prebio_p0ab
3,temporal,persistence,0.7099,0.5827,0.8583,0.7428,0.726,0.2901,0.9006,1952,2810,362,257,89,105,1501,0.1271,0.4143,adopted_prebio_p0ab
3,temporal,chl_only,0.1271,0.2277,0.5868,0.2771,0.1742,0.8729,0.7766,1952,2810,362,46,120,316,1470,0.1271,0.2151,adopted_prebio_p0ab
3,spatial,rf,0.576,0.7386,0.9224,0.7725,0.66,0.424,0.9089,2228,2335,342,197,58,145,1828,0.1447,0.7062,adopted_prebio_p0ab
3,spatial,persistence,0.8012,0.6968,0.9053,0.8155,0.8083,0.1988,0.9417,2228,2335,342,274,62,68,1824,0.1447,0.8179,adopted_prebio_p0ab
