rank,feature,category,mean_abs_shap
1,hab_any_prior_14d,LEVEL,0.0625974806346416
2,hab_any_prior_7d,LEVEL,0.0401533403958831
3,Kd_490_rollmean_obs7,LEVEL,0.0250876742440993
4,chlor_a_rollmean_obs7,LEVEL,0.0213122550848973
5,doy,LEVEL,0.0191931619622653
6,nflh_rollmean_obs7,LEVEL,0.0182261133623976
7,doy_sin,LEVEL,0.0173934967730547
8,centroid_lat,LEVEL,0.0156484098829589
9,doy_cos,LEVEL,0.0153247039812917
10,Kd_490_rollmean_obs3,LEVEL,0.0148607915249218
11,chlor_a_rollmean_obs3,LEVEL,0.0139203187960395
12,centroid_lon,LEVEL,0.013807631957697
13,month,LEVEL,0.0134767372604409
14,sst_rollmean_obs7,LEVEL,0.0133565921988426
15,chlor_a_rollstd_obs7,TREND,0.0128188537895453
16,Kd_490_rollstd_obs7,TREND,0.01232815731329
17,sst_rollmean_obs3,LEVEL,0.0116155710121025
18,dist_to_shore_m,LEVEL,0.0106283405855443
19,nflh_rollmean_obs3,LEVEL,0.0103743503542277
20,depth_m,LEVEL,0.00954385388943366
21,sst_rollstd_obs7,TREND,0.00941254596450868
22,county_fips,LEVEL,0.00730679802536003
23,nflh_rollstd_obs7,TREND,0.00721029697854692
24,county_name,LEVEL,0.00691845810412167
25,sst_rollstd_obs3,TREND,0.00530076348331198
26,chlor_a_rollstd_obs3,TREND,0.00474647684994552
27,nflh_rollstd_obs3,TREND,0.00468062144368627
28,Kd_490_rollstd_obs3,TREND,0.00461350866022841
29,sst_mean,LEVEL,0.00437650374931756
30,Kd_490_mean,LEVEL,0.00371023396434665
31,chlor_a_mean,LEVEL,0.00326348290172187
32,sst_n_valid,META,0.00324753369191429
33,nflh_mean,LEVEL,0.00308301541438093
34,sst_delta_1d,TREND,0.00222216632066224
35,sst_mean_is_missing,META,0.0021555108765271
36,sst_pct_chg_1d,TREND,0.00210363035163811
37,sst_delta_5d,TREND,0.00188376714178369
38,sst_pct_chg_5d,TREND,0.00182518770499611
39,sst_slope_obs3,TREND,0.00181076036889952
40,sst_pct_chg_7d,TREND,0.00175385466401443
41,sst_rollstd_obs3_is_missing,TREND,0.00173487081709513
42,sst_delta_7d,TREND,0.00168627463534318
43,sst_rollmean_obs3_is_missing,META,0.00167554746116864
44,sst_pct_chg_3d,TREND,0.00148566703142338
45,sst_delta_3d,TREND,0.0014649129766433
46,Kd_490_rollstd_obs7_is_missing,TREND,0.00144176626903362
47,nflh_rollmean_obs3_is_missing,META,0.00140395537363679
48,nflh_rollstd_obs3_is_missing,TREND,0.00132561472139775
49,chlor_a_n_valid,META,0.0013038999789715
50,chlor_a_rollmean_obs3_is_missing,META,0.00126070982349157
51,chlor_a_rollmean_obs7_is_missing,META,0.00125646678429183
52,Kd_490_rollmean_obs7_is_missing,META,0.00125020519074868
53,chlor_a_rollstd_obs3_is_missing,TREND,0.00120309797651026
54,nflh_rollmean_obs7_is_missing,META,0.00118894327589155
55,sst_slope_obs3_is_missing,TREND,0.00116440303981637
56,Kd_490_n_valid,META,0.00116116334617204
57,nflh_n_valid,META,0.00116086932527393
58,Kd_490_rollstd_obs3_is_missing,TREND,0.00112616706899666
59,sst_delta_1d_is_missing,TREND,0.00111214134858705
60,sst_pct_chg_1d_is_missing,TREND,0.00110279150306881
61,Kd_490_rollmean_obs3_is_missing,META,0.00106830484144971
62,sst_delta_7d_is_missing,TREND,0.00105341506274494
63,chlor_a_mean_is_missing,META,0.0010072735014412
64,sst_pct_chg_7d_is_missing,TREND,0.000982596813558589
65,sst_pct_chg_5d_is_missing,TREND,0.000975795143466663
66,sst_delta_5d_is_missing,TREND,0.000970773869016308
67,chlor_a_rollstd_obs7_is_missing,TREND,0.000925142027420947
