rank,feature,category,mean_abs_shap,impurity_importance,permutation_importance
1,hab_any_prior_14d,LEVEL,0.0625974806346416,944.617143395575,0.00305562867105365
2,hab_any_prior_7d,LEVEL,0.0401533403958831,657.391327903713,0.0016942677931392
3,Kd_490_rollmean_obs7,LEVEL,0.0250876742440993,387.727151949124,0.00892458311304163
4,chlor_a_rollmean_obs7,LEVEL,0.0213122550848973,326.112534965929,0.00967456088521141
5,doy,LEVEL,0.0191931619622653,242.204599494436,0.0107942916406703
6,nflh_rollmean_obs7,LEVEL,0.0182261133623976,273.695689189804,-0.000963786603558137
7,doy_sin,LEVEL,0.0173934967730547,235.310638949167,0.00772808021525187
8,centroid_lat,LEVEL,0.0156484098829589,166.900095275722,0.00342355260055259
9,doy_cos,LEVEL,0.0153247039812917,181.127643553322,0.0076113040201167
10,Kd_490_rollmean_obs3,LEVEL,0.0148607915249218,214.528334842406,0.00382930970636076
11,chlor_a_rollmean_obs3,LEVEL,0.0139203187960395,185.756129870705,0.00517958722850168
12,centroid_lon,LEVEL,0.013807631957697,158.631024520895,0.00289503711495179
13,month,LEVEL,0.0134767372604409,127.303275989416,0.006741742848269
14,sst_rollmean_obs7,LEVEL,0.0133565921988426,175.692841304832,0.0072861258914166
15,chlor_a_rollstd_obs7,TREND,0.0128188537895453,195.807708002184,0.00468391156696696
16,Kd_490_rollstd_obs7,TREND,0.01232815731329,180.259953865413,0.0047643351516035
17,sst_rollmean_obs3,LEVEL,0.0116155710121025,146.010864326197,0.00546537658102642
18,dist_to_shore_m,LEVEL,0.0106283405855443,141.070632510841,0.0011332173547412
19,nflh_rollmean_obs3,LEVEL,0.0103743503542277,157.004993170264,7.81116867186487e-05
20,depth_m,LEVEL,0.00954385388943366,127.684391921662,0.00134141562059997
21,sst_rollstd_obs7,TREND,0.00941254596450868,158.370349602029,0.00123878528301364
22,county_fips,LEVEL,0.00730679802536003,68.5673171756397,0.00161508583190194
23,nflh_rollstd_obs7,TREND,0.00721029697854692,124.321980284416,0.00108635801590035
24,county_name,LEVEL,0.00691845810412167,71.5035495004467,0.00152592401732975
25,sst_rollstd_obs3,TREND,0.00530076348331198,89.1904622014478,0.000997669453423524
26,chlor_a_rollstd_obs3,TREND,0.00474647684994552,66.7764242929908,0.00153313109462194
27,nflh_rollstd_obs3,TREND,0.00468062144368627,58.9114634747788,0.0012587989276172
28,Kd_490_rollstd_obs3,TREND,0.00461350866022841,61.6980488526924,0.00163907659519844
29,sst_mean,LEVEL,0.00437650374931756,69.4672287028326,0.00158078454301625
30,Kd_490_mean,LEVEL,0.00371023396434665,51.4085453931097,0.000690879690806341
31,chlor_a_mean,LEVEL,0.00326348290172187,54.4919450102292,0.000931762405297815
32,sst_n_valid,META,0.00324753369191429,32.2245764890075,0.000665199886538834
33,nflh_mean,LEVEL,0.00308301541438093,42.9223887067816,0.000292037835353144
34,sst_delta_1d,TREND,0.00222216632066224,38.0374646640518,0.000714242765751749
35,sst_mean_is_missing,META,0.0021555108765271,13.9256978265833,0.000480739610052104
36,sst_pct_chg_1d,TREND,0.00210363035163811,37.327253400965,0.000698465515399237
37,sst_delta_5d,TREND,0.00188376714178369,34.2449048467906,0.000496129326088949
38,sst_pct_chg_5d,TREND,0.00182518770499611,31.7631007140892,0.000490667511429597
39,sst_slope_obs3,TREND,0.00181076036889952,31.3711658708271,0.000275309395836431
40,sst_pct_chg_7d,TREND,0.00175385466401443,30.1210890830499,0.000339905760184145
41,sst_rollstd_obs3_is_missing,TREND,0.00173487081709513,11.9633441322202,-1.82651793658089e-05
42,sst_delta_7d,TREND,0.00168627463534318,33.7182756735392,0.000402200366664358
43,sst_rollmean_obs3_is_missing,META,0.00167554746116864,12.5758525268192,-4.07456856197148e-05
44,sst_pct_chg_3d,TREND,0.00148566703142338,30.7161477546036,0.000305029366583792
45,sst_delta_3d,TREND,0.0014649129766433,30.6604991972478,0.000312320985276142
46,Kd_490_rollstd_obs7_is_missing,TREND,0.00144176626903362,6.27098354246021,-3.16854090449192e-05
47,nflh_rollmean_obs3_is_missing,META,0.00140395537363679,9.33552591316717,0.000319188297423003
48,nflh_rollstd_obs3_is_missing,TREND,0.00132561472139775,10.4590614631143,0.000251305283632601
49,chlor_a_n_valid,META,0.0013038999789715,15.039901778899,0.000113065469173142
50,chlor_a_rollmean_obs3_is_missing,META,0.00126070982349157,8.30875608497419,0.000313919801884826
51,chlor_a_rollmean_obs7_is_missing,META,0.00125646678429183,5.50971365990872,-4.3524812229534e-07
52,Kd_490_rollmean_obs7_is_missing,META,0.00125020519074868,5.82657686896998,-0.000148243536294967
53,chlor_a_rollstd_obs3_is_missing,TREND,0.00120309797651026,7.74696868037375,0.000238872273081513
54,nflh_rollmean_obs7_is_missing,META,0.00118894327589155,8.08537067687004,9.64935072082058e-05
55,sst_slope_obs3_is_missing,TREND,0.00116440303981637,9.32042585990998,0.000128488169595118
56,Kd_490_n_valid,META,0.00116116334617204,14.5099487562256,0.000177446709240225
57,nflh_n_valid,META,0.00116086932527393,14.7191783218085,0.000185181184841271
58,Kd_490_rollstd_obs3_is_missing,TREND,0.00112616706899666,6.97417467188431,9.66143248659221e-05
59,sst_delta_1d_is_missing,TREND,0.00111214134858705,9.44111111771039,0.000304521045851907
60,sst_pct_chg_1d_is_missing,TREND,0.00110279150306881,9.70369381078899,0.000375402343840669
61,Kd_490_rollmean_obs3_is_missing,META,0.00106830484144971,7.33201060766433,0.000137836754597553
62,sst_delta_7d_is_missing,TREND,0.00105341506274494,8.76993076518721,4.42232367996618e-05
63,chlor_a_mean_is_missing,META,0.0010072735014412,5.69550102193569,6.7822759572469e-05
